"name","lat","lon"
"-4.0,-4.0.png","-38.053371999999605","145.1889689999996"
"-4.0,-3.0.png","-38.053371999999605","145.1902659999997"
"-4.0,-2.0.png","-38.053371999999605","145.19156299999977"
"-4.0,-1.0.png","-38.0523459999997","145.1889689999996"
"-4.0,0.0.png","-38.0523459999997","145.1902659999997"
"-4.0,1.0.png","-38.0523459999997","145.19156299999977"
"-4.0,2.0.png","-38.0513199999998","145.1889689999996"
"-4.0,3.0.png","-38.0513199999998","145.1902659999997"
"-4.0,4.0.png","-38.0513199999998","145.19156299999977"
"-3.0,-4.0.png","-38.053371999999605","145.19285999999988"
"-3.0,-3.0.png","-38.053371999999605","145.194157"
"-3.0,-2.0.png","-38.053371999999605","145.1954540000001"
"-3.0,-1.0.png","-38.0523459999997","145.19285999999988"
"-3.0,0.0.png","-38.0523459999997","145.194157"
"-3.0,1.0.png","-38.0523459999997","145.1954540000001"
"-3.0,2.0.png","-38.0513199999998","145.19285999999988"
"-3.0,3.0.png","-38.0513199999998","145.194157"
"-3.0,4.0.png","-38.0513199999998","145.1954540000001"
"-2.0,-4.0.png","-38.053371999999605","145.1967510000002"
"-2.0,-3.0.png","-38.053371999999605","145.19804800000028"
"-2.0,-2.0.png","-38.053371999999605","145.1993450000004"
"-2.0,-1.0.png","-38.0523459999997","145.1967510000002"
"-2.0,0.0.png","-38.0523459999997","145.19804800000028"
"-2.0,1.0.png","-38.0523459999997","145.1993450000004"
"-2.0,2.0.png","-38.0513199999998","145.1967510000002"
"-2.0,3.0.png","-38.0513199999998","145.19804800000028"
"-2.0,4.0.png","-38.0513199999998","145.1993450000004"
"-1.0,-4.0.png","-38.0502939999999","145.1889689999996"
"-1.0,-3.0.png","-38.0502939999999","145.1902659999997"
"-1.0,-2.0.png","-38.0502939999999","145.19156299999977"
"-1.0,-1.0.png","-38.049268","145.1889689999996"
"-1.0,0.0.png","-38.049268","145.1902659999997"
"-1.0,1.0.png","-38.049268","145.19156299999977"
"-1.0,2.0.png","-38.048242000000094","145.1889689999996"
"-1.0,3.0.png","-38.048242000000094","145.1902659999997"
"-1.0,4.0.png","-38.048242000000094","145.19156299999977"
"0.0,-4.0.png","-38.0502939999999","145.19285999999988"
"0.0,-3.0.png","-38.0502939999999","145.194157"
"0.0,-2.0.png","-38.0502939999999","145.1954540000001"
"0.0,-1.0.png","-38.049268","145.19285999999988"
"0.0,0.0.png","-38.049268","145.194157"
"0.0,1.0.png","-38.049268","145.1954540000001"
"0.0,2.0.png","-38.048242000000094","145.19285999999988"
"0.0,3.0.png","-38.048242000000094","145.194157"
"0.0,4.0.png","-38.048242000000094","145.1954540000001"
"1.0,-4.0.png","-38.0502939999999","145.1967510000002"
"1.0,-3.0.png","-38.0502939999999","145.19804800000028"
"1.0,-2.0.png","-38.0502939999999","145.1993450000004"
"1.0,-1.0.png","-38.049268","145.1967510000002"
"1.0,0.0.png","-38.049268","145.19804800000028"
"1.0,1.0.png","-38.049268","145.1993450000004"
"1.0,2.0.png","-38.048242000000094","145.1967510000002"
"1.0,3.0.png","-38.048242000000094","145.19804800000028"
"1.0,4.0.png","-38.048242000000094","145.1993450000004"
"2.0,-4.0.png","-38.0472160000002","145.1889689999996"
"2.0,-3.0.png","-38.0472160000002","145.1902659999997"
"2.0,-2.0.png","-38.0472160000002","145.19156299999977"
"2.0,-1.0.png","-38.046190000000294","145.1889689999996"
"2.0,0.0.png","-38.046190000000294","145.1902659999997"
"2.0,1.0.png","-38.046190000000294","145.19156299999977"
"2.0,2.0.png","-38.04516400000039","145.1889689999996"
"2.0,3.0.png","-38.04516400000039","145.1902659999997"
"2.0,4.0.png","-38.04516400000039","145.19156299999977"
"3.0,-4.0.png","-38.0472160000002","145.19285999999988"
"3.0,-3.0.png","-38.0472160000002","145.194157"
"3.0,-2.0.png","-38.0472160000002","145.1954540000001"
"3.0,-1.0.png","-38.046190000000294","145.19285999999988"
"3.0,0.0.png","-38.046190000000294","145.194157"
"3.0,1.0.png","-38.046190000000294","145.1954540000001"
"3.0,2.0.png","-38.04516400000039","145.19285999999988"
"3.0,3.0.png","-38.04516400000039","145.194157"
"3.0,4.0.png","-38.04516400000039","145.1954540000001"
"4.0,-4.0.png","-38.0472160000002","145.1967510000002"
"4.0,-3.0.png","-38.0472160000002","145.19804800000028"
"4.0,-2.0.png","-38.0472160000002","145.1993450000004"
"4.0,-1.0.png","-38.046190000000294","145.1967510000002"
"4.0,0.0.png","-38.046190000000294","145.19804800000028"
"4.0,1.0.png","-38.046190000000294","145.1993450000004"
"4.0,2.0.png","-38.04516400000039","145.1967510000002"
"4.0,3.0.png","-38.04516400000039","145.19804800000028"
"4.0,4.0.png","-38.04516400000039","145.1993450000004"
