Diff_Err_Lat,Diff_Err_Lon,Distance_Error,Global_Int_Lat,Global_Int_Lon,Injected_Lat,Injected_Lon,Raw_GPS_Lat,Raw_GPS_Lon,Timestamp
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:16
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:17
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:18
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:19
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:20
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:21
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:23
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:24
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:25
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:26
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:27
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:28
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:30
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:31
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:32
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:33
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:34
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:35
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:37
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:38
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:39
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:40
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:41
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:42
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:44
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:45
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:06:46
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:28
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:29
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:30
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:31
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:33
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:34
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:35
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:36
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:37
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:38
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:40
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:41
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:42
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:43
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:44
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:45
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:47
35.3599712,-149.1542315,14959954.23617182,0.0,0.0,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:48
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:49
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:50
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:51
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:52
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:53
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:55
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:56
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:57
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:58
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:07:59
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:00
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:02
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:03
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:04
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:05
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:06
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:07
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:09
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:10
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:11
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:12
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:13
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:14
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:16
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:17
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:18
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:19
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:20
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:21
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:23
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:24
35.3599712,-149.1542315,14959954.23617182,-35.3599711,149.1542315,-35.3599712,149.1542315,0.0,0.0,16/10/2022 17:08:25
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:36:51
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:36:52
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:36:54
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:36:55
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:36:56
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:36:57
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:36:58
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:36:59
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:01
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:02
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:03
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:04
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:05
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:07
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:08
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:09
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:10
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:11
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:12
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:14
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:15
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:16
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:17
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:18
35.3599712,-149.1542315,14959954.23617182,-35.3599774,149.1542334,-35.3599712,149.1542315,0.0,0.0,16/10/2022 16:37:19
-2.6894135000000006,-3.9610374000000093,462887.5667325309,-38.0493837,145.1931936,-35.3599712,149.1542315,-38.0493847,145.1931941,16/10/2022 16:37:59
-2.6894135000000006,-3.9610374000000093,462887.5667325309,-38.0493837,145.1931936,-35.3599712,149.1542315,-38.0493847,145.1931941,16/10/2022 16:38:00
-2.6894135000000006,-3.9610375000000033,462887.57355956035,-38.0493837,145.1931936,-35.3599712,149.1542315,-38.0493847,145.193194,16/10/2022 16:38:01
-2.6894135000000006,-3.9610375000000033,462887.57355956035,-38.0493837,145.1931935,-35.3599712,149.1542315,-38.0493847,145.193194,16/10/2022 16:38:02
